region_id,timestamp_local,moer_g_co2e_kwh,source
CAISO,2026-01-01 00:00:00,355.2627907560172,watttime_moer.csv
CAISO,2026-01-01 01:00:00,337.78170133929063,watttime_moer.csv
CAISO,2026-01-01 02:00:00,314.9995552389407,watttime_moer.csv
CAISO,2026-01-01 03:00:00,288.4664629668963,watttime_moer.csv
CAISO,2026-01-01 04:00:00,259.97571686895367,watttime_moer.csv
CAISO,2026-01-01 05:00:00,231.39698045686876,watttime_moer.csv
CAISO,2026-01-01 06:00:00,204.40427335432605,watttime_moer.csv
CAISO,2026-01-01 07:00:00,180.03235627369634,watttime_moer.csv
CAISO,2026-01-01 08:00:00,158.17040569379984,watttime_moer.csv
CAISO,2026-01-01 09:00:00,137.59643766863005,watttime_moer.csv
CAISO,2026-01-01 10:00:00,117.47442722075205,watttime_moer.csv
CAISO,2026-01-01 11:00:00,100.12255542535134,watttime_moer.csv
CAISO,2026-01-01 12:00:00,92.350212140835,watttime_moer.csv
CAISO,2026-01-01 13:00:00,102.21825406947978,watttime_moer.csv
CAISO,2026-01-01 14:00:00,132.61300655712324,watttime_moer.csv
CAISO,2026-01-01 15:00:00,177.90430135587152,watttime_moer.csv
CAISO,2026-01-01 16:00:00,227.47442722075206,watttime_moer.csv
CAISO,2026-01-01 17:00:00,272.3183735217048,watttime_moer.csv
CAISO,2026-01-01 18:00:00,308.4332001100881,watttime_moer.csv
CAISO,2026-01-01 19:00:00,335.5958481347368,watttime_moer.csv
CAISO,2026-01-01 20:00:00,354.66706777061427,watttime_moer.csv
CAISO,2026-01-01 21:00:00,366.11891630994364,watttime_moer.csv
CAISO,2026-01-01 22:00:00,369.97571686895367,watttime_moer.csv
CAISO,2026-01-01 23:00:00,366.24820889741653,watttime_moer.csv
CAISO,2026-01-02 00:00:00,355.26279075601724,watttime_moer.csv
CAISO,2026-01-02 01:00:00,337.7817013392907,watttime_moer.csv
CAISO,2026-01-02 02:00:00,314.9995552389407,watttime_moer.csv
CAISO,2026-01-02 03:00:00,288.4664629668963,watttime_moer.csv
CAISO,2026-01-02 04:00:00,259.97571686895367,watttime_moer.csv
CAISO,2026-01-02 05:00:00,231.3969804568688,watttime_moer.csv
CAISO,2026-01-02 06:00:00,204.40427335432608,watttime_moer.csv
CAISO,2026-01-02 07:00:00,180.03235627369642,watttime_moer.csv
CAISO,2026-01-02 08:00:00,158.1704056937999,watttime_moer.csv
CAISO,2026-01-02 09:00:00,137.59643766863005,watttime_moer.csv
CAISO,2026-01-02 10:00:00,117.47442722075205,watttime_moer.csv
CAISO,2026-01-02 11:00:00,100.12255542535131,watttime_moer.csv
CAISO,2026-01-02 12:00:00,92.350212140835,watttime_moer.csv
CAISO,2026-01-02 13:00:00,102.21825406947978,watttime_moer.csv
CAISO,2026-01-02 14:00:00,132.61300655712319,watttime_moer.csv
CAISO,2026-01-02 15:00:00,177.90430135587147,watttime_moer.csv
CAISO,2026-01-02 16:00:00,227.47442722075206,watttime_moer.csv
CAISO,2026-01-02 17:00:00,272.31837352170487,watttime_moer.csv
CAISO,2026-01-02 18:00:00,308.4332001100881,watttime_moer.csv
CAISO,2026-01-02 19:00:00,335.59584813473674,watttime_moer.csv
CAISO,2026-01-02 20:00:00,354.66706777061427,watttime_moer.csv
CAISO,2026-01-02 21:00:00,366.11891630994364,watttime_moer.csv
CAISO,2026-01-02 22:00:00,369.97571686895367,watttime_moer.csv
CAISO,2026-01-02 23:00:00,366.24820889741653,watttime_moer.csv
