INTERVALSTARTTIME_GMT,LMP_PRC
2026-01-01 08:00:00+00:00,118.8074039201174
2026-01-01 09:00:00+00:00,115.31088913245534
2026-01-01 10:00:00+00:00,109.74873734152915
2026-01-01 11:00:00+00:00,102.49999999999999
2026-01-01 12:00:00+00:00,94.05866657858823
2026-01-01 13:00:00+00:00,85.0
2026-01-01 14:00:00+00:00,75.94133342141177
2026-01-01 15:00:00+00:00,67.5
2026-01-01 16:00:00+00:00,60.251262658470836
2026-01-01 17:00:00+00:00,54.68911086754464
2026-01-01 18:00:00+00:00,51.19259607988261
2026-01-01 19:00:00+00:00,50.0
2026-01-01 20:00:00+00:00,51.19259607988261
2026-01-01 21:00:00+00:00,54.68911086754465
2026-01-01 22:00:00+00:00,60.251262658470836
2026-01-01 23:00:00+00:00,67.5
2026-01-02 00:00:00+00:00,75.94133342141177
2026-01-02 01:00:00+00:00,85.0
2026-01-02 02:00:00+00:00,119.05866657858823
2026-01-02 03:00:00+00:00,127.5
2026-01-02 04:00:00+00:00,134.74873734152916
2026-01-02 05:00:00+00:00,140.31088913245534
2026-01-02 06:00:00+00:00,118.8074039201174
2026-01-02 07:00:00+00:00,120.0
2026-01-02 08:00:00+00:00,118.8074039201174
2026-01-02 09:00:00+00:00,115.31088913245536
2026-01-02 10:00:00+00:00,109.74873734152916
2026-01-02 11:00:00+00:00,102.5
2026-01-02 12:00:00+00:00,94.05866657858823
2026-01-02 13:00:00+00:00,85.0
2026-01-02 14:00:00+00:00,75.94133342141177
2026-01-02 15:00:00+00:00,67.50000000000001
2026-01-02 16:00:00+00:00,60.25126265847085
2026-01-02 17:00:00+00:00,54.689110867544656
2026-01-02 18:00:00+00:00,51.19259607988261
2026-01-02 19:00:00+00:00,50.0
2026-01-02 20:00:00+00:00,51.192596079882605
2026-01-02 21:00:00+00:00,54.68911086754465
2026-01-02 22:00:00+00:00,60.251262658470836
2026-01-02 23:00:00+00:00,67.49999999999999
2026-01-03 00:00:00+00:00,75.94133342141174
2026-01-03 01:00:00+00:00,84.99999999999999
2026-01-03 02:00:00+00:00,119.05866657858823
2026-01-03 03:00:00+00:00,127.5
2026-01-03 04:00:00+00:00,134.74873734152916
2026-01-03 05:00:00+00:00,140.31088913245534
2026-01-03 06:00:00+00:00,118.8074039201174
2026-01-03 07:00:00+00:00,120.0
2026-01-03 08:00:00+00:00,118.8074039201174
