point_time,value
2026-01-01 08:00:00+00:00,783.2203852018436
2026-01-01 09:00:00+00:00,744.6811800191671
2026-01-01 10:00:00+00:00,694.4551453520717
2026-01-01 11:00:00+00:00,635.9596899015216
2026-01-01 12:00:00+00:00,573.1483465406476
2026-01-01 13:00:00+00:00,510.1430177427119
2026-01-01 14:00:00+00:00,450.63428503950814
2026-01-01 15:00:00+00:00,396.90340530572934
2026-01-01 16:00:00+00:00,348.7060544995495
2026-01-01 17:00:00+00:00,303.34821917006684
2026-01-01 18:00:00+00:00,258.9867797395976
2026-01-01 19:00:00+00:00,220.73245064803743
2026-01-01 20:00:00+00:00,203.5973668182183
2026-01-01 21:00:00+00:00,225.35267528746078
2026-01-01 22:00:00+00:00,292.3616342072139
2026-01-01 23:00:00+00:00,392.21184729335624
2026-01-02 00:00:00+00:00,501.4952681429629
2026-01-02 01:00:00+00:00,600.3592466110151
2026-01-02 02:00:00+00:00,679.9788102919105
2026-01-02 03:00:00+00:00,739.862198596367
2026-01-02 04:00:00+00:00,781.907040831869
2026-01-02 05:00:00+00:00,807.1540451836604
2026-01-02 06:00:00+00:00,815.656834944013
2026-01-02 07:00:00+00:00,807.4390865468405
2026-01-02 08:00:00+00:00,783.2203852018437
2026-01-02 09:00:00+00:00,744.6811800191672
2026-01-02 10:00:00+00:00,694.4551453520717
2026-01-02 11:00:00+00:00,635.9596899015216
2026-01-02 12:00:00+00:00,573.1483465406476
2026-01-02 13:00:00+00:00,510.143017742712
2026-01-02 14:00:00+00:00,450.6342850395082
2026-01-02 15:00:00+00:00,396.9034053057295
2026-01-02 16:00:00+00:00,348.7060544995496
2026-01-02 17:00:00+00:00,303.34821917006684
2026-01-02 18:00:00+00:00,258.9867797395976
2026-01-02 19:00:00+00:00,220.73245064803737
2026-01-02 20:00:00+00:00,203.5973668182183
2026-01-02 21:00:00+00:00,225.35267528746078
2026-01-02 22:00:00+00:00,292.3616342072138
2026-01-02 23:00:00+00:00,392.21184729335613
2026-01-03 00:00:00+00:00,501.4952681429629
2026-01-03 01:00:00+00:00,600.3592466110152
2026-01-03 02:00:00+00:00,679.9788102919105
2026-01-03 03:00:00+00:00,739.8621985963669
2026-01-03 04:00:00+00:00,781.907040831869
2026-01-03 05:00:00+00:00,807.1540451836604
2026-01-03 06:00:00+00:00,815.656834944013
2026-01-03 07:00:00+00:00,807.4390865468405
2026-01-03 08:00:00+00:00,783.2203852018439
2026-01-03 09:00:00+00:00,744.6811800191671
2026-01-03 10:00:00+00:00,694.4551453520717
2026-01-03 11:00:00+00:00,635.9596899015216
2026-01-03 12:00:00+00:00,573.1483465406477
2026-01-03 13:00:00+00:00,510.1430177427121
2026-01-03 14:00:00+00:00,450.6342850395083
2026-01-03 15:00:00+00:00,396.9034053057296
2026-01-03 16:00:00+00:00,348.7060544995495
2026-01-03 17:00:00+00:00,303.34821917006695
2026-01-03 18:00:00+00:00,258.9867797395976
2026-01-03 19:00:00+00:00,220.73245064803737
2026-01-03 20:00:00+00:00,203.59736681821818
2026-01-03 21:00:00+00:00,225.35267528746084
2026-01-03 22:00:00+00:00,292.36163420721357
