event_id,timestamp_local,scenario_id,region_id,selected_action,reason,emissions_g_co2e_km,cost_usd_km,distance_km,moer_g_co2e_kwh,price_usd_kwh,objective_score,rejected_actions
E0001,2026-01-01 00:00:00,CAISO_PHEV_BALANCED,CAISO,E85_CELLULOSIC,compatible liquid fuel,95.0,0.055,0.5,355.2627907560172,0.1188074039201173,0.29999999998539856,ELECTRIC
E0002,2026-01-01 01:00:00,CAISO_PHEV_BALANCED,CAISO,E85_CELLULOSIC,compatible liquid fuel,95.0,0.055,0.5,337.78170133929063,0.1153108891324553,0.29999999998608523,ELECTRIC
E0003,2026-01-01 02:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,91.34987101929279,0.03182713382904344,0.5,314.9995552389407,0.1097487373415291,0.0,E85_CELLULOSIC
E0004,2026-01-01 03:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,83.65527426039992,0.029724999999999994,0.5,288.4664629668963,0.1025,0.0,E85_CELLULOSIC
E0005,2026-01-01 04:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,75.39295789199656,0.027277013307790577,0.5,259.97571686895367,0.0940586665785882,0.0,E85_CELLULOSIC
E0006,2026-01-01 05:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,67.10512433249194,0.024650000000000002,0.5,231.3969804568688,0.085,0.0,E85_CELLULOSIC
E0007,2026-01-01 06:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,59.27723927275455,0.022022986692209392,0.5,204.40427335432605,0.0759413334214117,0.0,E85_CELLULOSIC
E0008,2026-01-01 07:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,52.20938331937193,0.019575,8.0,180.03235627369634,0.0675,0.0,E85_CELLULOSIC
E0009,2026-01-01 08:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,45.86941765120195,0.01747286617095653,8.0,158.17040569379984,0.0602512626584708,0.0,E85_CELLULOSIC
E0010,2026-01-01 09:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,39.90296692390271,0.015859842151587932,8.0,137.59643766863005,0.0546891108675446,0.0,E85_CELLULOSIC
E0011,2026-01-01 10:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,34.067583894018085,0.014845852863165953,0.5,117.47442722075203,0.0511925960798826,0.0,E85_CELLULOSIC
E0012,2026-01-01 11:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,29.035541073351887,0.014499999999999999,0.5,100.12255542535134,0.05,0.0,E85_CELLULOSIC
E0013,2026-01-01 12:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,26.781561520842146,0.014845852863165953,2.0,92.350212140835,0.0511925960798826,0.0,E85_CELLULOSIC
E0014,2026-01-01 13:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,29.643293680149135,0.015859842151587932,2.0,102.21825406947978,0.0546891108675446,0.0,E85_CELLULOSIC
E0015,2026-01-01 14:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,38.457771901565735,0.01747286617095653,2.0,132.61300655712324,0.0602512626584708,0.0,E85_CELLULOSIC
E0016,2026-01-01 15:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,51.59224739320274,0.019575,0.5,177.90430135587152,0.0675,0.0,E85_CELLULOSIC
E0017,2026-01-01 16:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,65.9675838940181,0.022022986692209392,8.0,227.4744272207521,0.0759413334214117,0.0,E85_CELLULOSIC
E0018,2026-01-01 17:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,78.97232832129438,0.024650000000000002,8.0,272.3183735217048,0.085,0.0,E85_CELLULOSIC
E0019,2026-01-01 18:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,89.44562803192554,0.03452701330779057,8.0,308.4332001100881,0.1190586665785882,0.0,E85_CELLULOSIC
E0020,2026-01-01 19:00:00,CAISO_PHEV_BALANCED,CAISO,E85_CELLULOSIC,compatible liquid fuel,95.0,0.055,8.0,335.5958481347368,0.1275,0.29999999998335647,ELECTRIC
E0021,2026-01-01 20:00:00,CAISO_PHEV_BALANCED,CAISO,E85_CELLULOSIC,compatible liquid fuel,95.0,0.055,0.5,354.66706777061427,0.1347487373415291,0.29999999998115917,ELECTRIC
E0022,2026-01-01 21:00:00,CAISO_PHEV_BALANCED,CAISO,E85_CELLULOSIC,compatible liquid fuel,95.0,0.055,0.5,366.1189163099437,0.1403108891324553,0.29999999997903537,ELECTRIC
E0023,2026-01-01 22:00:00,CAISO_PHEV_BALANCED,CAISO,E85_CELLULOSIC,compatible liquid fuel,95.0,0.055,0.5,369.97571686895367,0.1188074039201173,0.29999999998539856,ELECTRIC
E0024,2026-01-01 23:00:00,CAISO_PHEV_BALANCED,CAISO,E85_CELLULOSIC,compatible liquid fuel,95.0,0.055,0.5,366.2482088974165,0.12,0.29999999998514854,ELECTRIC
E0025,2026-01-02 00:00:00,CAISO_PHEV_BALANCED,CAISO,E85_CELLULOSIC,compatible liquid fuel,95.0,0.055,0.5,355.26279075601724,0.1188074039201173,0.29999999998539856,ELECTRIC
E0026,2026-01-02 01:00:00,CAISO_PHEV_BALANCED,CAISO,E85_CELLULOSIC,compatible liquid fuel,95.0,0.055,0.5,337.7817013392907,0.1153108891324553,0.29999999998608523,ELECTRIC
E0027,2026-01-02 02:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,91.34987101929279,0.03182713382904344,0.5,314.9995552389407,0.1097487373415291,0.0,E85_CELLULOSIC
E0028,2026-01-02 03:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,83.65527426039992,0.029724999999999994,0.5,288.4664629668963,0.1025,0.0,E85_CELLULOSIC
E0029,2026-01-02 04:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,75.39295789199656,0.027277013307790577,0.5,259.97571686895367,0.0940586665785882,0.0,E85_CELLULOSIC
E0030,2026-01-02 05:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,67.10512433249194,0.024650000000000002,0.5,231.3969804568688,0.085,0.0,E85_CELLULOSIC
E0031,2026-01-02 06:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,59.27723927275456,0.022022986692209392,0.5,204.40427335432608,0.0759413334214117,0.0,E85_CELLULOSIC
E0032,2026-01-02 07:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,52.20938331937196,0.019575,8.0,180.03235627369642,0.0675,0.0,E85_CELLULOSIC
E0033,2026-01-02 08:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,45.869417651201964,0.01747286617095653,8.0,158.1704056937999,0.0602512626584708,0.0,E85_CELLULOSIC
E0034,2026-01-02 09:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,39.90296692390271,0.015859842151587932,8.0,137.59643766863005,0.0546891108675446,0.0,E85_CELLULOSIC
E0035,2026-01-02 10:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,34.067583894018085,0.014845852863165953,0.5,117.47442722075203,0.0511925960798826,0.0,E85_CELLULOSIC
E0036,2026-01-02 11:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,29.035541073351883,0.014499999999999999,0.5,100.12255542535132,0.05,0.0,E85_CELLULOSIC
E0037,2026-01-02 12:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,26.781561520842146,0.014845852863165953,2.0,92.350212140835,0.0511925960798826,0.0,E85_CELLULOSIC
E0038,2026-01-02 13:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,29.643293680149135,0.015859842151587932,2.0,102.21825406947978,0.0546891108675446,0.0,E85_CELLULOSIC
E0039,2026-01-02 14:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,38.45777190156573,0.01747286617095653,2.0,132.6130065571232,0.0602512626584708,0.0,E85_CELLULOSIC
E0040,2026-01-02 15:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,51.59224739320272,0.019574999999999967,0.5,177.90430135587147,0.0674999999999999,0.0,E85_CELLULOSIC
E0041,2026-01-02 16:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,65.9675838940181,0.022022986692209392,8.0,227.4744272207521,0.0759413334214117,0.0,E85_CELLULOSIC
E0042,2026-01-02 17:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,78.97232832129441,0.024649999999999967,8.0,272.31837352170487,0.0849999999999999,0.0,E85_CELLULOSIC
E0043,2026-01-02 18:00:00,CAISO_PHEV_BALANCED,CAISO,ELECTRIC,feasible electric operation,89.44562803192554,0.03452701330779057,8.0,308.4332001100881,0.1190586665785882,0.0,E85_CELLULOSIC
E0044,2026-01-02 19:00:00,CAISO_PHEV_BALANCED,CAISO,E85_CELLULOSIC,compatible liquid fuel,95.0,0.055,8.0,335.59584813473674,0.1275,0.29999999998335647,ELECTRIC
E0045,2026-01-02 20:00:00,CAISO_PHEV_BALANCED,CAISO,E85_CELLULOSIC,compatible liquid fuel,95.0,0.055,0.5,354.66706777061427,0.1347487373415291,0.29999999998115917,ELECTRIC
E0046,2026-01-02 21:00:00,CAISO_PHEV_BALANCED,CAISO,E85_CELLULOSIC,compatible liquid fuel,95.0,0.055,0.5,366.1189163099437,0.1403108891324553,0.29999999997903537,ELECTRIC
E0047,2026-01-02 22:00:00,CAISO_PHEV_BALANCED,CAISO,E85_CELLULOSIC,compatible liquid fuel,95.0,0.055,0.5,369.97571686895367,0.1188074039201173,0.29999999998539856,ELECTRIC
E0048,2026-01-02 23:00:00,CAISO_PHEV_BALANCED,CAISO,E85_CELLULOSIC,compatible liquid fuel,95.0,0.055,0.5,366.2482088974165,0.12,0.29999999998514854,ELECTRIC
